id,qid1,qid2,question1,question2,is_duplicate
0,0,0,What is the step by step guide to invest in share market in india?,What is the step by step guide to invest in share market?,0
1,1,1,What is the story of Kohinoor (Koh-i-Noor) Diamond?,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?,0
2,2,2,How can I increase the speed of my internet connection while using a VPN?,How can Internet speed be increased by hacking through DNS?,0
6,6,6,Should I buy tiago?,What keeps childern active and far from phone and video games?,0
7,7,7,How can I be a good geologist?,What should I do to be a great geologist?,1
8,8,8,When do you use シ instead of し?,"When do you use ""&"" instead of ""and""?",0
9,9,9,Motorola (company): Can I hack my Charter Motorolla DCX3400?,How do I hack Motorola DCX3400 for free internet?,0
10,10,10,Method to find separation of slits using fresnel biprism?,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?,0
11,11,11,How do I read and find my YouTube comments?,How can I see all my Youtube comments?,1
12,12,12,What can make Physics easy to learn?,How can you make physics easy to learn?,1
13,13,13,What was your first sexual experience like?,What was your first sexual experience?,1
15,15,15,What would a Trump presidency mean for current international master’s students on an F1 visa?,How will a Trump presidency affect the students presently in US or planning to study in US?,1
16,16,16,What does manipulation mean?,What does manipulation means?,1
17,17,17,Why do girls want to be friends with the guy they reject?,How do guys feel after rejecting a girl?,0
18,18,18,Why are so many Quora users posting questions that are readily answered on Google?,Why do people ask Quora questions which can be answered easily by Google?,1
19,19,19,Which is the best digital marketing institution in banglore?,Which is the best digital marketing institute in Pune?,0
20,20,20,Why do rockets look white?,Why are rockets and boosters painted white?,1
21,21,21,What's causing someone to be jealous?,What can I do to avoid being jealous of someone?,0
22,22,22,What are the questions should not ask on Quora?,Which question should I ask on Quora?,0
23,23,23,How much is 30 kV in HP?,Where can I find a conversion chart for CC to horsepower?,0
24,24,24,What does it mean that every time I look at the clock the numbers are the same?,How many times a day do a clock’s hands overlap?,0
25,25,25,What are some tips on making it through the job interview process at Medicines?,What are some tips on making it through the job interview process at Foundation Medicine?,0
26,26,26,What is web application?,What is the web application framework?,0
27,27,27,Does society place too much importance on sports?,How do sports contribute to the society?,0
28,28,28,What is best way to make money online?,What is best way to ask for money online?,0
29,29,29,How should I prepare for CA final law?,How one should know that he/she completely prepare for CA final exam?,1
30,30,30,What's one thing you would like to do better?,What's one thing you do despite knowing better?,0
31,31,31,What are some special cares for someone with a nose that gets stuffy during the night?,How can I keep my nose from getting stuffy at night?,1
32,32,32,What Game of Thrones villain would be the most likely to give you mercy?,What Game of Thrones villain would you most like to be at the mercy of?,1
34,34,34,What is the best travel website in spain?,What is the best travel website?,0
35,35,35,Why do some people think Obama will try to take their guns away?,Has there been a gun control initiative to take away guns people already own?,0
36,36,36,I'm a 19-year-old. How can I improve my skills or what should I do to become an entrepreneur in the next few years?,I am a 19 year old guy. How can I become a billionaire in the next 10 years?,0
